FB_ID,Comment,Rating,Worker_ID,Client_ID
1,"The worker was very attentive and caring.",4,1,1
2,"Excellent service provided by the worker.",5,2,2
3,"The worker needs to be more punctual.",2,3,3
4,"Very knowledgeable and helpful worker.",5,4,4
5,"Satisfactory service, but room for improvement.",3,5,5
6,"Extremely satisfied with the worker's dedication.",5,6,6
7,"Good communication skills, but needs more expertise.",4,7,7
8,"The worker was friendly and professional.",5,8,8
9,"Could improve in providing detailed explanations.",2,9,9
10,"Adequate service, but expected better.",3,10,10
11,"Impressed by the worker's commitment and skills.",5,11,11
12,"Pleased with the worker's communication.",4,12,12
13,"Needs improvement in time management.",2,13,13
14,"Highly skilled and professional worker.",5,14,14
15,"Fair service, could be more personalized.",3,15,15
16,"Exceptional care and attention from the worker.",5,16,16
17,"Overall good service but could be more thorough.",4,17,17
18,"The worker was polite and accommodating.",4,18,18
19,"Needs improvement in delivering detailed information.",2,19,19
20,"Satisfactory service but room for improvement.",3,20,20
21,"The worker was attentive and supportive.",5,21,21
22,"Impressed by the worker's knowledge and guidance.",4,22,22
23,"Requires better adherence to schedules.",2,23,23
24,"Very professional and knowledgeable worker.",5,24,24
25,"Adequate service, but could be more comprehensive.",3,25,25
26,"Exceptional dedication and care from the worker.",5,26,26
27,"Overall good service but expected more expertise.",4,27,27
28,"The worker was friendly and communicative.",4,28,28
29,"Could improve in providing detailed information.",2,29,29
30,"Satisfactory service but expected better.",3,30,30
31,"The worker was very attentive and caring.",5,31,31
32,"Excellent service provided by the worker.",4,32,32
33,"The worker needs to be more punctual.",2,33,33
34,"Very knowledgeable and helpful worker.",5,34,34
35,"Satisfactory service, but room for improvement.",3,35,35
36,"Extremely satisfied with the worker's dedication.",5,36,36
37,"Good communication skills, but needs more expertise.",4,37,37
38,"The worker was friendly and professional.",4,38,38
39,"Could improve in providing detailed explanations.",2,39,39
40,"Adequate service, but expected better.",3,40,40
41,"Impressed by the worker's commitment and skills.",5,41,41
42,"Pleased with the worker's communication.",4,42,42
43,"Needs improvement in time management.",2,43,43
44,"Highly skilled and professional worker.",5,44,44
45,"Fair service, could be more personalized.",3,45,45
46,"Exceptional care and attention from the worker.",5,46,46
47,"Overall good service but could be more thorough.",4,47,47
48,"The worker was polite and accommodating.",4,48,48
49,"Needs improvement in delivering detailed information.",2,49,49
50,"Satisfactory service but room for improvement.",3,50,50
51,"The worker was attentive and supportive.",5,51,51
52,"Impressed by the worker's knowledge and guidance.",4,52,52
53,"Requires better adherence to schedules.",2,53,53
54,"Very professional and knowledgeable worker.",5,54,54
55,"Adequate service, but could be more comprehensive.",3,55,55
56,"Exceptional dedication and care from the worker.",5,56,56
57,"Overall good service but expected more expertise.",4,57,57
58,"The worker was friendly and communicative.",4,58,58
59,"Could improve in providing detailed information.",2,59,59
60,"Satisfactory service but expected better.",3,60,60
61,"The worker was very attentive and caring.",5,61,61
62,"Excellent service provided by the worker.",4,62,62
63,"The worker needs to be more punctual.",2,63,63
64,"Very knowledgeable and helpful worker.",5,64,64
65,"Satisfactory service, but room for improvement.",3,65,65
66,"Extremely satisfied with the worker's dedication.",5,66,66
67,"Good communication skills, but needs more expertise.",4,67,67
68,"The worker was friendly and professional.",4,68,68
69,"Could improve in providing detailed explanations.",2,69,69
70,"Adequate service, but expected better.",3,70,70
71,"Impressed by the worker's commitment and skills.",5,71,71
72,"Pleased with the worker's communication.",4,72,72
73,"Needs improvement in time management.",2,73,73
74,"Highly skilled and professional worker.",5,74,74
75,"Fair service, could be more personalized.",3,75,75
76,"Exceptional care and attention from the worker.",5,76,76
77,"Overall good service but could be more thorough.",4,77,77
78,"The worker was polite and accommodating.",4,78,78
79,"Needs improvement in delivering detailed information.",2,79,79
80,"Satisfactory service but room for improvement.",3,80,80
81,"The worker was attentive and supportive.",5,81,81
82,"Impressed by the worker's knowledge and guidance.",4,82,82
83,"Requires better adherence to schedules.",2,83,83
84,"Very professional and knowledgeable worker.",5,84,84
85,"Adequate service, but could be more comprehensive.",3,85,85
86,"Exceptional dedication and care from the worker.",5,86,86
87,"Overall good service but expected more expertise.",4,87,87
88,"The worker was friendly and communicative.",4,88,88
89,"Could improve in providing detailed information.",2,89,89
90,"Satisfactory service but expected better.",3,90,90
91,"The worker was very attentive and caring.",5,91,91
92,"Excellent service provided by the worker.",4,92,92
93,"The worker needs to be more punctual.",2,93,93
94,"Very knowledgeable and helpful worker.",5,94,94
95,"Satisfactory service, but room for improvement.",3,95,95
96,"Extremely satisfied with the worker's dedication.",5,96,96
97,"Good communication skills, but needs more expertise.",4,97,97
98,"The worker was friendly and professional.",4,98,98
99,"Could improve in providing detailed explanations.",2,99,99
100,"Adequate service, but expected better.",3,100,100
